site name,Reservation,Community type,%unvegetated,%open water,%unvegetated open water,%bare ground,Deer Browse Ratings
1144,14,5,0.075877863,0,0.0001,0.075,4
1146,8,8,0.013813338,0,0,0.013775,3
1147,10,7,0.000755938,0,0,0,4
1148,6,9,0.018437045,0,0,0.018333333,1
1149,8,8,0.025166667,0,0.0001,0.025066667,5
1150,13,7,0.08,0,0,0.08,6
1151,10,6,0.010071773,0.0001,0,0.01005,5
1153,4,5,0.002642249,0,0,0.001733333,3
1154,13,8,0.008840134,0,0,0.008825,2
1155,1,8,0.001358117,0,0,0.001325,6
1157,4,8,0.012606188,0,0,0.01255,5
1159,1,8,0.040033348,0,0,0.04,5
1161,11,37,0.005018578,0,0,0.005,3
1162,8,19,0.15912523,0.075,0.075,0.075,3
1164,7,9,0.017926211,0,0,0.015,4
1166,13,10,0.087015372,0,0,0.08,2
1167,10,41,0.008469902,0,0,0.006275,3
1168,11,11,0.000713078,0,0,0.0001,1
1169,4,8,0.04151273,0,0,0.04,3
1171,1,9,0.131877251,0,0.025,0.103775,3
1173,4,9,0.280276453,0,0,0.2525,2
1174,13,8,0.012163686,0,0,0.008775,2
1175,1,5,0.004324602,0,0,0.0001,6
1176,14,7,0.00504979,0,0,0.005,3
1177,11,38,0.012248792,0,0,0.01,1
1178,3,15,0,0,0,0,5
1179,10,9,0.04670799,0,0,0.03755,3
1180,12,33,0.031331923,0,0,0.03,5
1182,13,8,0.003814312,0,0,0.003775,5
1183,14,8,0.004599303,0,0,0.00255,5
1184,11,37,0.072523126,0,0.04,0.0325,3
1187,1,36,0.260605019,0,0,0,4
1188,14,31,6.24629E-05,0,0,0,7
1189,4,9,0.150354088,0,0.075,0.04,2
1190,10,13,0.159141423,0,0.15,0,3
1191,1,8,0.00156767,0,0,0.0001,5
1192,14,4,0.00499918,0,0.0001,0.003775,5
1194,8,38,0.006752068,0,0,0.0067,1
1195,9,9,0.042275744,0,0,0.0375,1
1196,1,8,0.05622593,0,0,0.048775,5
1197,8,5,0.014541727,0,0,0.013775,2
1198,3,12,0.018791932,0,0,0.018775,4
1199,10,9,0.006953742,0,0,0.00255,4
1200,5,7,0.133480373,0,0,0.1325,1
3372,5,7,0.018416053,0,0,0.0175,2
3374,4,5,0.005106871,0,0,0.005066667,5
3378,4,9,0.045991398,0,0,0.04,4
3382,4,1,0.00231084,0,0,0.0001,3
3387,10,13,0.053606207,0,0.005,0.005,5
3390,8,41,0.000231787,0,0,0.0001,2
3394,4,9,0.110107283,0,0,0.088333333,3
3399,13,21,0.22238677,0,0,0,7
3400,1,3,0.01001539,0,0,0.00755,3
3402,8,22,0.022992826,0,0,0,4
3405,14,30,0.017926951,0,0,0.005,2
3406,8,5,0.014090426,0,0,0.0001,3
3411,13,9,0.36561784,0,0,0.3525,2
3413,11,3,0.0001,0,0,0.0001,1
3415,13,9,0.002582921,0,0,0.00255,4
3417,14,8,0.030033333,0,0,0.030033333,4
3425,11,7,0.013838883,0,0,0.0125,3
3435,2,8,0.10189826,0,0,0.1,3
3459,2,9,0.018568874,0,0,0.01,3
,,,,,,,
1201,4,8,0.025,0,0,0.025,
1204,11,20,0.596760103,0,0,0.066275,7
1205,4,31,0,0,0,0,2
1206,13,8,0.035734098,0,0,0.035,3
1207,1,31,5.13492E-05,0,0,0,3
1208,14,38,0.34,0.175,0.175,0.165,2
1209,11,8,0.018260423,0,0,0.0175,2
1210,8,8,0.001339728,0,0,0.001325,3
1211,10,37,0.018578122,0,0,0.0175,4
1212,6,28,0.082378551,0,0,0.055,5
1213,8,31,0.101504619,0,0,0.1,1
1215,10,8,0.003825,0,0,0.003825,4
1216,4,9,0.007679174,0,0,0.0075,3
1217,4,36,7.46408E-05,0,0,0,2
1218,13,9,0.004267131,0,0,0.003775,3
1219,1,36,0.0001,0,0,0.0001,3
1220,11,28,0.730186839,0.04,0,0.675,3
1221,4,8,0.04586792,0,0,0.045,2
1222,13,8,0.074034689,0,0,0.063775,2
1223,1,8,0.03,0,0,0.03,5
1224,14,8,0.006287728,0,0,0.006275,2
1226,3,14,0.005,0,0,0.005,4
1227,10,8,0,0,0,0,
1229,8,8,0.0175,0,0,0.0175,3
1230,13,31,2.13616E-05,0,0,0,3
1231,14,37,0.00949656,0,0,0.0075,3
1232,11,38,0.026619744,0,0,0.0225,3
1233,4,38,2.69942E-05,0,0,0,2
1235,4,26,0.136021467,0,0,0.105,1
1236,14,9,0.055138251,0,0,0.055,3
1237,4,8,0.02254593,0,0,0.0225,3
1238,13,8,0.018555429,0,0,0.015,1
1241,8,24,0.262650638,0,0,0,3
1242,3,6,0.008333333,0,0,0.008333333,2
1243,4,5,0.015013112,0,0,0.015,3
1245,8,31,0.001512725,0,0,0,1
1246,13,9,0.00501281,0,0,0.005,4
1248,11,4,0.005022906,0,0,0.005,5
1249,4,32,0.006397403,0,0,0,5
1250,10,16,0.193553731,0,0,0.19,5
