plot,year,OM,P1,P2,Bic,K,Mg,Ca,pH,CEC,K.sat,Mg.sat,Ca.sat,H.sat,C.tot,N.tot,C:N,tex5,tex20
1021,2010,4.6,5,13,NA,69,235,1645,6.1,12.1,1.5,16.2,68,14.3,2.67,0.17,15.4,1,1
1022,2010,5.9,5,8,NA,106,215,1369,5.6,11.6,2.3,15.4,59,23.3,3.96,0.21,18.7,1,1
1024,2010,6.5,9,19,NA,109,188,1804,6.3,12.2,2.3,12.8,73.9,11,4.06,0.21,19.8,2,2
1025,2010,5.1,2,4,NA,77,125,735,5,8.3,2.4,12.6,44.3,40.7,3.29,0.18,18.3,1,1
1026,2010,5.2,4,6,NA,61,92,470,4.7,6.6,2.4,11.6,35.6,50.4,2.71,0.13,21.5,2,2
1028,2010,6,3,4,NA,93,132,936,5.3,8.7,2.7,12.6,53.8,30.9,3.69,0.19,19.3,1,1
1030,2010,8.6,8,17,NA,164,285,2755,6.6,17.7,2.4,13.4,77.8,6.4,5.58,0.35,15.9,1,1
1031,2010,7.2,4,16,NA,118,281,2809,6.5,18.1,1.7,12.9,77.6,7.8,5.34,0.31,17,1,NA
1033,2010,5.7,6,7,NA,101,80,486,4.6,7.3,3.5,9.1,33.3,54.1,3.6,0.24,14.9,1,1
1034,2010,3.3,3,18,6,113,235,1890,7.3,11.7,2.5,16.7,80.8,NA,2.78,0.16,16.9,3,3
1035,2010,4.7,1,2,NA,62,100,1013,5.4,8.5,1.9,9.8,59.6,28.7,3.28,0.15,21.4,2,2
1038,2010,9.7,3,5,NA,95,47,319,3.8,11,2.2,3.6,14.5,79.7,10.01,0.45,22.2,1,1
1039,2010,5.6,5,20,NA,113,307,1981,6.2,14.5,2,17.6,68.3,12.1,3.99,0.28,14.2,1,1
1040,2010,5.1,3,5,NA,86,129,666,4.8,8.7,2.5,12.4,38.3,46.8,3.85,0.24,16.1,1,1
1041,2010,6.1,3,11,NA,87,208,1878,6.1,13.1,1.7,13.2,71.7,13.4,4.65,0.27,17.4,1,1
1043,2010,3.3,2,34,NA,81,186,1645,7.3,10,2.1,15.5,82.4,NA,2.25,0.13,16.8,1,1
1044,2010,3.6,4,5,NA,57,106,799,4.9,8.9,1.6,9.9,44.9,43.6,2.73,0.14,19.9,1,1
1045,2010,3.9,6,8,NA,71,119,1060,5.8,8,2.3,12.4,66.2,19.1,2.86,0.18,16.1,3,3
1047,2010,5.6,5,6,NA,65,167,1389,6.2,9.7,1.7,14.3,71.6,12.4,3.89,0.21,18.3,1,1
